time,abgw_iop_latency_ms_count
01_04_00:00,3705653515
01_04_00:05,3706339864
01_04_00:10,3707087936
01_04_00:15,3707833213
01_04_00:20,3708544050
01_04_00:25,3709214995
01_04_00:30,3709873957
01_04_00:35,3710588360
01_04_00:40,3711352284
01_04_00:45,3712194894
01_04_00:50,3712977381
01_04_00:55,3713783459
01_04_01:00,3714869223
01_04_01:05,3715868058
01_04_01:10,3716872458
01_04_01:15,3717728321
01_04_01:20,3718603323
01_04_01:25,3719481106
01_04_01:30,3720500908
01_04_01:35,3721393988
01_04_01:40,3722319012
01_04_01:45,3723222911
01_04_01:50,3724159594
01_04_01:55,3725031837
01_04_02:00,3725993990
01_04_02:05,3726907604
01_04_02:10,3727788370
01_04_02:15,3728653712
01_04_02:20,3729531892
01_04_02:25,3730495610
01_04_02:30,3731528146
01_04_02:35,3732569106
01_04_02:40,3733563276
01_04_02:45,3734508411
01_04_02:50,3735340555
01_04_02:55,3736176930
01_04_03:00,3737079883
01_04_03:05,3737983767
01_04_03:10,3738864390
01_04_03:15,3739665707
01_04_03:20,3740397655
01_04_03:25,3741112414
01_04_03:30,3741788956
01_04_03:35,3742384271
01_04_03:40,3742946510
01_04_03:45,3743495599
01_04_03:50,3744070575
01_04_03:55,3744675422
01_04_04:00,3745341472
01_04_04:05,3746031241
01_04_04:10,3746855071
01_04_04:15,3747754288
01_04_04:20,3748546919
01_04_04:25,3749318786
01_04_04:30,3750076015
01_04_04:35,3750921935
01_04_04:40,3751696333
01_04_04:45,3752436728
01_04_04:50,3753080382
01_04_04:55,3753738861
01_04_05:00,3754360840
01_04_05:05,3754995337
01_04_05:10,3755618405
01_04_05:15,3756177130
01_04_05:20,3756769412
01_04_05:25,3757267796
01_04_05:30,3757743318
01_04_05:35,3758219832
01_04_05:40,3758737181
01_04_05:45,3759220027
01_04_05:50,3759761614
01_04_05:55,3760285633
01_04_06:00,3760791028
01_04_06:05,3761311906
01_04_06:10,3761893467
01_04_06:15,3762398500
01_04_06:20,3762923914
01_04_06:25,3763444421
01_04_06:30,3764022607
01_04_06:35,3764596754
01_04_06:40,3765191545
01_04_06:45,3765787967
01_04_06:50,3766353937
01_04_06:55,3766890033
01_04_07:00,3767432681
01_04_07:05,3768029345
01_04_07:10,3768659787
01_04_07:15,3769252180
01_04_07:20,3769764320
01_04_07:25,3770265744
01_04_07:30,3770817061
