time,abgw_iop_latency_ms_sum
01_04_00:00,31877860366.14098
01_04_00:05,31884418976.323982
01_04_00:10,31890636117.44098
01_04_00:15,31901462007.489002
01_04_00:20,31911678521.33399
01_04_00:25,31921714159.904
01_04_00:30,31931119737.81099
01_04_00:35,31941113895.028973
01_04_00:40,31950785674.509975
01_04_00:45,31959860036.63099
01_04_00:50,31967847849.91999
01_04_00:55,31975397112.517975
01_04_01:00,31984567926.77699
01_04_01:05,31992027582.18098
01_04_01:10,31999520970.10599
01_04_01:15,32006155876.90998
01_04_01:20,32011436563.05498
01_04_01:25,32016524134.764984
01_04_01:30,32021560667.855984
01_04_01:35,32026895536.793976
01_04_01:40,32032003803.064976
01_04_01:45,32036832370.072983
01_04_01:50,32041725400.129982
01_04_01:55,32048641454.528984
01_04_02:00,32053315599.71398
01_04_02:05,32058369781.68599
01_04_02:10,32063092122.094994
01_04_02:15,32068297712.02499
01_04_02:20,32073190624.261993
01_04_02:25,32080352955.803993
01_04_02:30,32088589428.377
01_04_02:35,32098989081.50198
01_04_02:40,32108936026.815998
01_04_02:45,32118390198.422993
01_04_02:50,32128093090.57498
01_04_02:55,32137030438.542988
01_04_03:00,32145790490.11198
01_04_03:05,32153539571.192993
01_04_03:10,32162290902.461
01_04_03:15,32170121310.45398
01_04_03:20,32175467732.72499
01_04_03:25,32181770756.42198
01_04_03:30,32187951338.09099
01_04_03:35,32192629772.213997
01_04_03:40,32196922579.005997
01_04_03:45,32200653933.004997
01_04_03:50,32204731281.637993
01_04_03:55,32209547986.208996
01_04_04:00,32214077592.585983
01_04_04:05,32218701814.262993
01_04_04:10,32222865833.905987
01_04_04:15,32227364900.06299
01_04_04:20,32231506400.38399
01_04_04:25,32235886103.000984
01_04_04:30,32240603504.362984
01_04_04:35,32247892214.239998
01_04_04:40,32255523128.803986
01_04_04:45,32263228451.970993
01_04_04:50,32270668109.352985
01_04_04:55,32279793585.22299
01_04_05:00,32288071233.88999
01_04_05:05,32296482424.083984
01_04_05:10,32304230256.44498
01_04_05:15,32310157632.953987
01_04_05:20,32318808245.11199
01_04_05:25,32326011317.803986
01_04_05:30,32332244251.804993
01_04_05:35,32338692273.097984
01_04_05:40,32344808299.27598
01_04_05:45,32350264862.508984
01_04_05:50,32356563709.66899
01_04_05:55,32361714963.36299
01_04_06:00,32365562947.257984
01_04_06:05,32369598295.933987
01_04_06:10,32373460711.23499
01_04_06:15,32377338795.431988
01_04_06:20,32381474751.778984
01_04_06:25,32385888690.095978
01_04_06:30,32390256012.674984
01_04_06:35,32394557395.93098
01_04_06:40,32399015017.905987
01_04_06:45,32405871565.313984
01_04_06:50,32413318414.580982
01_04_06:55,32420748441.10298
01_04_07:00,32427320177.360985
01_04_07:05,32434321334.904987
01_04_07:10,32441792857.10699
01_04_07:15,32451796290.908974
01_04_07:20,32460542327.781982
01_04_07:25,32468312572.383984
