time,abgw_read_bytes_total
01_04_00:00,375382283889000
01_04_00:05,375448624429000
01_04_00:10,375527459439000
01_04_00:15,375594337139000
01_04_00:20,375647522199000
01_04_00:25,375700116699000
01_04_00:30,375754384829000
01_04_00:35,375816447919000
01_04_00:40,375897954179000
01_04_00:45,376002073892000
01_04_00:50,376101943582000
01_04_00:55,376196481392000
01_04_01:00,376321591192000
01_04_01:05,376462589073000
01_04_01:10,376592666023000
01_04_01:15,376691738323000
01_04_01:20,376808015013000
01_04_01:25,376922043973000
01_04_01:30,377042063103000
01_04_01:35,377177673833000
01_04_01:40,377298648523000
01_04_01:45,377424876373000
01_04_01:50,377539241033000
01_04_01:55,377658357023000
01_04_02:00,377784332743000
01_04_02:05,377874262553000
01_04_02:10,377948964203000
01_04_02:15,378042252613000
01_04_02:20,378129902193000
01_04_02:25,378241237533000
01_04_02:30,378371491533000
01_04_02:35,378478189153000
01_04_02:40,378581129193000
01_04_02:45,378686817623000
01_04_02:50,378781643923000
01_04_02:55,378891181443000
01_04_03:00,379022445983000
01_04_03:05,379151381733000
01_04_03:10,379266172833000
01_04_03:15,379367244433000
01_04_03:20,379451802533000
01_04_03:25,379538157733000
01_04_03:30,379632702933000
01_04_03:35,379721344333000
01_04_03:40,379798013633000
01_04_03:45,379866705133000
01_04_03:50,379942177033000
01_04_03:55,380029594533000
01_04_04:00,380127100133000
01_04_04:05,380224585533000
01_04_04:10,380334232833000
01_04_04:15,380457313033000
01_04_04:20,380558912233000
01_04_04:25,380660788233000
01_04_04:30,380748041533000
01_04_04:35,380837284433000
01_04_04:40,380921732833000
01_04_04:45,381002989633000
01_04_04:50,381076452733000
01_04_04:55,381157918333000
01_04_05:00,381239188833000
01_04_05:05,381326379433000
01_04_05:10,381408953033000
01_04_05:15,381477748733000
01_04_05:20,381548137833000
01_04_05:25,381608013933000
01_04_05:30,381671949533000
01_04_05:35,381739538033000
01_04_05:40,381808950133000
01_04_05:45,381873350633000
01_04_05:50,381939150233000
01_04_05:55,382004076733000
01_04_06:00,382063714333000
01_04_06:05,382128841333000
01_04_06:10,382221086333000
01_04_06:15,382285471233000
01_04_06:20,382351861633000
01_04_06:25,382416920733000
01_04_06:30,382496674233000
01_04_06:35,382562322833000
01_04_06:40,382641661833000
01_04_06:45,382719649433000
01_04_06:50,382789142333000
01_04_06:55,382854495033000
01_04_07:00,382922269633000
01_04_07:05,382989790333000
01_04_07:10,383055816333000
01_04_07:15,383122831933000
01_04_07:20,383187381033000
01_04_07:25,383251868033000
01_04_07:30,383315292133000
01_04_07:35,383383673633000
01_04_07:40,383449914133000
01_04_07:45,383531105733000
01_04_07:50,383637232433000
01_04_07:55,383707016833000
01_04_08:00,383774816833000
01_04_08:05,383841803333000
01_04_08:10,383897969033000
01_04_08:15,383948887133000
01_04_08:20,383996860133000
01_04_08:25,384048445243000
01_04_08:30,384111081754000
01_04_08:35,384208792375000
01_04_08:40,384308029975000
