time,abgw_req_latency_ms_sum
01_04_00:00,39050116686.323
01_04_00:05,39057878777.04501
01_04_00:10,39065348005.52801
01_04_00:15,39072546895.027
01_04_00:20,39079616772.425
01_04_00:25,39086283254.670006
01_04_00:30,39093119877.56701
01_04_00:35,39100579519.784996
01_04_00:40,39107819309.87998
01_04_00:45,39115030707.02099
01_04_00:50,39121830976.75398
01_04_00:55,39129470654.147995
01_04_01:00,39137767386.742004
01_04_01:05,39145516381.76802
01_04_01:10,39152966965.04299
01_04_01:15,39160336241.06102
01_04_01:20,39167731794.500015
01_04_01:25,39175454853.67603
01_04_01:30,39182917734.736015
01_04_01:35,39190258866.46001
01_04_01:40,39197489736.52302
01_04_01:45,39204612983.95299
01_04_01:50,39211708658.08501
01_04_01:55,39219012759.23101
01_04_02:00,39226140222.90002
01_04_02:05,39233842232.05301
01_04_02:10,39241481707.701996
01_04_02:15,39248825747.923996
01_04_02:20,39255996049.85801
01_04_02:25,39263052328.44601
01_04_02:30,39270050876.03
01_04_02:35,39277502753.62599
01_04_02:40,39284524065.45301
01_04_02:45,39291275983.252014
01_04_02:50,39298082224.69501
01_04_02:55,39304785616.227005
01_04_03:00,39311462626.121
01_04_03:05,39318961211.271996
01_04_03:10,39326182243.91599
01_04_03:15,39332922080.296005
01_04_03:20,39339627401.313
01_04_03:25,39346668531.836
01_04_03:30,39353157673.406006
01_04_03:35,39359609439.03798
01_04_03:40,39365810698.48799
01_04_03:45,39372109671.994995
01_04_03:50,39378573386.546974
01_04_03:55,39385119874.34399
01_04_04:00,39391662965.076996
01_04_04:05,39398598203.034996
01_04_04:10,39404519608.306
01_04_04:15,39410603641.05198
01_04_04:20,39416625009.75999
01_04_04:25,39422710294.96
01_04_04:30,39428986508.177986
01_04_04:35,39435185692.862976
01_04_04:40,39441268073.67199
01_04_04:45,39447652080.57999
01_04_04:50,39453844109.03598
01_04_04:55,39459971823.692986
01_04_05:00,39465553055.29598
01_04_05:05,39471554229.70998
01_04_05:10,39477603253.41199
01_04_05:15,39483440587.99998
01_04_05:20,39489430768.602974
01_04_05:25,39495669535.604
01_04_05:30,39501634293.63099
01_04_05:35,39508179173.16398
01_04_05:40,39514825268.94398
01_04_05:45,39521029793.27398
01_04_05:50,39527283436.880974
01_04_05:55,39533638337.27899
