time,abgw_write_bytes_total
01_04_00:00,486897966900000
01_04_00:05,487025243100000
01_04_00:10,487150532200000
01_04_00:15,487268592100000
01_04_00:20,487389606500000
01_04_00:25,487514529700000
01_04_00:30,487651406400000
01_04_00:35,487785396400000
01_04_00:40,487921232900000
01_04_00:45,488059507200000
01_04_00:50,488187952500000
01_04_00:55,488315678800000
01_04_01:00,488443560000000
01_04_01:05,488586774600000
01_04_01:10,488728139200000
01_04_01:15,488859777600000
01_04_01:20,488989397900000
01_04_01:25,489113538200000
01_04_01:30,489237432400000
01_04_01:35,489358556900000
01_04_01:40,489482632400000
01_04_01:45,489601644300000
01_04_01:50,489715794900000
01_04_01:55,489827325600000
01_04_02:00,489939269000000
01_04_02:05,490056540100000
01_04_02:10,490172896100000
01_04_02:15,490290955900000
01_04_02:20,490409344100000
01_04_02:25,490532322800000
01_04_02:30,490656079600000
01_04_02:35,490773904000000
01_04_02:40,490888157900000
01_04_02:45,491001161500000
01_04_02:50,491114117100000
01_04_02:55,491225364900000
01_04_03:00,491332232900000
01_04_03:05,491444414200000
01_04_03:10,491557201200000
01_04_03:15,491671925500000
01_04_03:20,491790633500000
01_04_03:25,491906627500000
01_04_03:30,492009840700000
01_04_03:35,492112560000000
01_04_03:40,492217377900000
01_04_03:45,492317117200000
01_04_03:50,492414673300000
01_04_03:55,492517022300000
01_04_04:00,492615559800000
01_04_04:05,492720057300000
01_04_04:10,492826756100000
01_04_04:15,492930792400000
01_04_04:20,493033969900000
01_04_04:25,493149378700000
01_04_04:30,493261116300000
01_04_04:35,493362423800000
01_04_04:40,493463091300000
01_04_04:45,493561633600000
01_04_04:50,493660391100000
01_04_04:55,493757078600000
01_04_05:00,493855347500000
01_04_05:05,493958138900000
01_04_05:10,494064763600000
01_04_05:15,494171525900000
01_04_05:20,494276029300000
01_04_05:25,494378670100000
01_04_05:30,494478696200000
01_04_05:35,494584634400000
01_04_05:40,494689512700000
01_04_05:45,494784824900000
01_04_05:50,494874577000000
