time,abgw_account_lookup_errs_total,instance
25_05_14:00,10,10.253.40.11:44444
25_05_14:05,10,10.253.40.11:44444
25_05_14:10,10,10.253.40.11:44444
25_05_14:15,10,10.253.40.11:44444
25_05_14:20,10,10.253.40.11:44444
25_05_14:25,10,10.253.40.11:44444
25_05_14:30,10,10.253.40.11:44444
25_05_14:35,10,10.253.40.11:44444
25_05_14:40,10,10.253.40.11:44444
25_05_14:45,10,10.253.40.11:44444
25_05_14:50,10,10.253.40.11:44444
25_05_14:55,10,10.253.40.11:44444
25_05_14:00,17,10.253.40.12:44444
25_05_14:05,17,10.253.40.12:44444
25_05_14:10,17,10.253.40.12:44444
25_05_14:15,17,10.253.40.12:44444
25_05_14:20,17,10.253.40.12:44444
25_05_14:25,17,10.253.40.12:44444
25_05_14:30,17,10.253.40.12:44444
25_05_14:35,17,10.253.40.12:44444
25_05_14:40,17,10.253.40.12:44444
25_05_14:45,17,10.253.40.12:44444
25_05_14:50,17,10.253.40.12:44444
25_05_14:55,17,10.253.40.12:44444
25_05_14:00,7,10.253.40.13:44444
25_05_14:05,7,10.253.40.13:44444
25_05_14:10,7,10.253.40.13:44444
25_05_14:15,7,10.253.40.13:44444
25_05_14:20,7,10.253.40.13:44444
25_05_14:25,7,10.253.40.13:44444
25_05_14:30,7,10.253.40.13:44444
25_05_14:35,7,10.253.40.13:44444
25_05_14:40,7,10.253.40.13:44444
25_05_14:45,7,10.253.40.13:44444
25_05_14:50,7,10.253.40.13:44444
25_05_14:55,7,10.253.40.13:44444
25_05_14:00,19,10.253.40.14:44444
25_05_14:05,19,10.253.40.14:44444
25_05_14:10,19,10.253.40.14:44444
25_05_14:15,19,10.253.40.14:44444
25_05_14:20,19,10.253.40.14:44444
25_05_14:25,19,10.253.40.14:44444
25_05_14:30,19,10.253.40.14:44444
25_05_14:35,19,10.253.40.14:44444
25_05_14:40,19,10.253.40.14:44444
25_05_14:45,19,10.253.40.14:44444
25_05_14:50,19,10.253.40.14:44444
25_05_14:55,19,10.253.40.14:44444
25_05_14:00,9,10.253.40.15:44444
25_05_14:05,9,10.253.40.15:44444
25_05_14:10,9,10.253.40.15:44444
25_05_14:15,9,10.253.40.15:44444
25_05_14:20,9,10.253.40.15:44444
25_05_14:25,9,10.253.40.15:44444
25_05_14:30,9,10.253.40.15:44444
25_05_14:35,9,10.253.40.15:44444
25_05_14:40,9,10.253.40.15:44444
25_05_14:45,9,10.253.40.15:44444
25_05_14:50,9,10.253.40.15:44444
25_05_14:55,9,10.253.40.15:44444
25_05_14:00,12,10.253.40.17:44444
25_05_14:05,12,10.253.40.17:44444
25_05_14:10,12,10.253.40.17:44444
25_05_14:15,12,10.253.40.17:44444
25_05_14:20,12,10.253.40.17:44444
25_05_14:25,12,10.253.40.17:44444
25_05_14:30,12,10.253.40.17:44444
25_05_14:35,12,10.253.40.17:44444
25_05_14:40,12,10.253.40.17:44444
