time,abgw_fds,instance
25_05_14:00,479,10.253.40.11:44444
25_05_14:05,468,10.253.40.11:44444
25_05_14:10,450,10.253.40.11:44444
25_05_14:15,446,10.253.40.11:44444
25_05_14:20,440,10.253.40.11:44444
25_05_14:25,442,10.253.40.11:44444
25_05_14:30,447,10.253.40.11:44444
25_05_14:35,459,10.253.40.11:44444
25_05_14:40,486,10.253.40.11:44444
25_05_14:45,492,10.253.40.11:44444
25_05_14:50,512,10.253.40.11:44444
25_05_14:55,502,10.253.40.11:44444
25_05_14:00,540,10.253.40.12:44444
25_05_14:05,535,10.253.40.12:44444
25_05_14:10,535,10.253.40.12:44444
25_05_14:15,540,10.253.40.12:44444
25_05_14:20,550,10.253.40.12:44444
25_05_14:25,550,10.253.40.12:44444
25_05_14:30,555,10.253.40.12:44444
25_05_14:35,582,10.253.40.12:44444
25_05_14:40,563,10.253.40.12:44444
25_05_14:45,574,10.253.40.12:44444
25_05_14:50,534,10.253.40.12:44444
25_05_14:55,557,10.253.40.12:44444
25_05_14:00,463,10.253.40.13:44444
25_05_14:05,453,10.253.40.13:44444
25_05_14:10,452,10.253.40.13:44444
25_05_14:15,487,10.253.40.13:44444
25_05_14:20,478,10.253.40.13:44444
25_05_14:25,476,10.253.40.13:44444
25_05_14:30,467,10.253.40.13:44444
25_05_14:35,482,10.253.40.13:44444
25_05_14:40,462,10.253.40.13:44444
25_05_14:45,481,10.253.40.13:44444
25_05_14:50,480,10.253.40.13:44444
25_05_14:55,523,10.253.40.13:44444
25_05_14:00,450,10.253.40.14:44444
25_05_14:05,437,10.253.40.14:44444
25_05_14:10,444,10.253.40.14:44444
25_05_14:15,431,10.253.40.14:44444
25_05_14:20,458,10.253.40.14:44444
25_05_14:25,458,10.253.40.14:44444
25_05_14:30,481,10.253.40.14:44444
25_05_14:35,466,10.253.40.14:44444
25_05_14:40,483,10.253.40.14:44444
25_05_14:45,475,10.253.40.14:44444
25_05_14:50,466,10.253.40.14:44444
25_05_14:55,443,10.253.40.14:44444
25_05_14:00,505,10.253.40.15:44444
25_05_14:05,507,10.253.40.15:44444
25_05_14:10,504,10.253.40.15:44444
25_05_14:15,494,10.253.40.15:44444
25_05_14:20,485,10.253.40.15:44444
25_05_14:25,492,10.253.40.15:44444
25_05_14:30,512,10.253.40.15:44444
25_05_14:35,519,10.253.40.15:44444
25_05_14:40,524,10.253.40.15:44444
25_05_14:45,498,10.253.40.15:44444
25_05_14:50,489,10.253.40.15:44444
25_05_14:55,502,10.253.40.15:44444
25_05_14:00,428,10.253.40.17:44444
25_05_14:05,447,10.253.40.17:44444
25_05_14:10,442,10.253.40.17:44444
25_05_14:15,460,10.253.40.17:44444
25_05_14:20,443,10.253.40.17:44444
25_05_14:25,415,10.253.40.17:44444
25_05_14:30,431,10.253.40.17:44444
25_05_14:35,428,10.253.40.17:44444
25_05_14:40,439,10.253.40.17:44444
25_05_14:45,437,10.253.40.17:44444
25_05_14:50,473,10.253.40.17:44444
25_05_14:55,471,10.253.40.17:44444
25_05_14:00,493,10.253.40.18:44444
25_05_14:05,489,10.253.40.18:44444
25_05_14:10,493,10.253.40.18:44444
25_05_14:15,479,10.253.40.18:44444
25_05_14:20,495,10.253.40.18:44444
25_05_14:25,502,10.253.40.18:44444
25_05_14:30,513,10.253.40.18:44444
25_05_14:35,503,10.253.40.18:44444
25_05_14:40,503,10.253.40.18:44444
25_05_14:45,508,10.253.40.18:44444
25_05_14:50,541,10.253.40.18:44444
25_05_14:55,550,10.253.40.18:44444
25_05_14:00,399,10.253.40.19:44444
25_05_14:05,383,10.253.40.19:44444
25_05_14:10,376,10.253.40.19:44444
25_05_14:15,374,10.253.40.19:44444
25_05_14:20,373,10.253.40.19:44444
25_05_14:25,368,10.253.40.19:44444
25_05_14:30,368,10.253.40.19:44444
25_05_14:35,391,10.253.40.19:44444
25_05_14:40,379,10.253.40.19:44444
25_05_14:45,392,10.253.40.19:44444
25_05_14:50,371,10.253.40.19:44444
25_05_14:55,379,10.253.40.19:44444
25_05_14:00,562,10.253.40.20:44444
25_05_14:05,551,10.253.40.20:44444
25_05_14:10,541,10.253.40.20:44444
25_05_14:15,514,10.253.40.20:44444
25_05_14:20,518,10.253.40.20:44444
25_05_14:25,534,10.253.40.20:44444
25_05_14:30,523,10.253.40.20:44444
25_05_14:35,531,10.253.40.20:44444
25_05_14:40,493,10.253.40.20:44444
25_05_14:45,521,10.253.40.20:44444
25_05_14:50,502,10.253.40.20:44444
25_05_14:55,489,10.253.40.20:44444
25_05_14:00,483,10.253.40.21:44444
25_05_14:05,494,10.253.40.21:44444
25_05_14:10,513,10.253.40.21:44444
25_05_14:15,493,10.253.40.21:44444
25_05_14:20,475,10.253.40.21:44444
25_05_14:25,439,10.253.40.21:44444
25_05_14:30,452,10.253.40.21:44444
25_05_14:35,471,10.253.40.21:44444
25_05_14:40,476,10.253.40.21:44444
25_05_14:45,479,10.253.40.21:44444
25_05_14:50,489,10.253.40.21:44444
25_05_14:55,508,10.253.40.21:44444
25_05_14:00,462,10.253.40.22:44444
25_05_14:05,496,10.253.40.22:44444
25_05_14:10,465,10.253.40.22:44444
25_05_14:15,456,10.253.40.22:44444
25_05_14:20,416,10.253.40.22:44444
25_05_14:25,426,10.253.40.22:44444
25_05_14:30,417,10.253.40.22:44444
25_05_14:35,406,10.253.40.22:44444
25_05_14:40,397,10.253.40.22:44444
25_05_14:45,390,10.253.40.22:44444
25_05_14:50,397,10.253.40.22:44444
25_05_14:55,405,10.253.40.22:44444
25_05_14:00,488,10.253.40.23:44444
25_05_14:05,460,10.253.40.23:44444
25_05_14:10,426,10.253.40.23:44444
25_05_14:15,413,10.253.40.23:44444
25_05_14:20,450,10.253.40.23:44444
25_05_14:25,452,10.253.40.23:44444
25_05_14:30,464,10.253.40.23:44444
25_05_14:35,444,10.253.40.23:44444
25_05_14:40,426,10.253.40.23:44444
25_05_14:45,428,10.253.40.23:44444
25_05_14:50,422,10.253.40.23:44444
25_05_14:55,412,10.253.40.23:44444
25_05_14:00,437,10.253.40.24:44444
25_05_14:05,442,10.253.40.24:44444
25_05_14:10,455,10.253.40.24:44444
25_05_14:15,455,10.253.40.24:44444
25_05_14:20,468,10.253.40.24:44444
25_05_14:25,437,10.253.40.24:44444
25_05_14:30,442,10.253.40.24:44444
25_05_14:35,428,10.253.40.24:44444
25_05_14:40,449,10.253.40.24:44444
25_05_14:45,485,10.253.40.24:44444
25_05_14:50,498,10.253.40.24:44444
25_05_14:55,556,10.253.40.24:44444
25_05_14:00,384,10.253.40.25:44444
25_05_14:05,389,10.253.40.25:44444
25_05_14:10,399,10.253.40.25:44444
25_05_14:15,401,10.253.40.25:44444
25_05_14:20,389,10.253.40.25:44444
25_05_14:25,415,10.253.40.25:44444
25_05_14:30,409,10.253.40.25:44444
25_05_14:35,417,10.253.40.25:44444
25_05_14:40,383,10.253.40.25:44444
25_05_14:45,389,10.253.40.25:44444
25_05_14:50,396,10.253.40.25:44444
25_05_14:55,394,10.253.40.25:44444
25_05_14:00,344,10.253.40.26:44444
25_05_14:05,303,10.253.40.26:44444
25_05_14:10,321,10.253.40.26:44444
25_05_14:15,326,10.253.40.26:44444
25_05_14:20,341,10.253.40.26:44444
25_05_14:25,333,10.253.40.26:44444
25_05_14:30,357,10.253.40.26:44444
25_05_14:35,355,10.253.40.26:44444
25_05_14:40,336,10.253.40.26:44444
25_05_14:45,323,10.253.40.26:44444
25_05_14:50,318,10.253.40.26:44444
25_05_14:55,321,10.253.40.26:44444
25_05_14:00,590,10.253.40.27:44444
25_05_14:05,593,10.253.40.27:44444
25_05_14:10,619,10.253.40.27:44444
25_05_14:15,635,10.253.40.27:44444
